,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,TAX_CLASS_AT_PRESENT,BLOCK,LOT,BUILDING_CLASS_AT_PRESENT,ADDRESS,ZIP_CODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,BUILDING_CLASS_AT_TIME_OF_SALE,SALE_PRICE,SALE_DATE,lnprice,AVG_SALE_PRICE,AVG_SALE_PRICE_CATEGORY
17,ALPHABETCITY,14RENTALS-4-10UNIT,2A,387,133,S3,650EAST6THSTREET,10009,0.015957446808510637,0.02127659574468085,0.020512820512820513,0.016626917294932802,0.005846831988741917,1920.0,2,S3,0.17945887056971593,2013-07-19,0.7383107667014929,5748968.6,2
18,ALPHABETCITY,14RENTALS-4-10UNIT,2A,391,33,S4,137AVENUEC,10009,0.02127659574468085,0.02127659574468085,0.02564102564102564,0.01165353618699913,0.004729958638456928,1900.0,2,S4,0.1568455323570703,2013-02-22,0.7178904143404486,5748968.6,2
19,ALPHABETCITY,14RENTALS-4-10UNIT,2A,393,4,S4,165AVENUEB,10009,0.02127659574468085,0.02127659574468085,0.02564102564102564,0.019577036543048005,0.008579448785772523,1900.0,2,S4,0.244068408320132,2012-12-04,0.7850114021540646,5748968.6,2
20,ALPHABETCITY,22STOREBUILDINGS,4,378,32,K1,127AVENUED,10009,0.0,0.02127659574468085,0.005128205128205128,0.019407489459822992,0.0022095477779804696,1910.0,4,K1,0.11484933281929985,2012-12-28,0.6707432808177948,5748968.6,2
21,ALPHABETCITY,29COMMERCIALGARAGES,4,384,33,G4,11AVENUEC,10009,0.0,0.02127659574468085,0.005128205128205128,0.06130822529416419,0.0007818113451994922,1961.0,4,G4,0.45081892912146343,2012-09-06,0.878434967028249,5748968.6,2
22,ALPHABETCITY,37RELIGIOUSFACILITIES,4,387,34,M1,67AVENUEC,10009,0.0,0.02127659574468085,0.005128205128205128,0.01911360784889964,0.0038178454023908535,1951.0,4,M1,0.15361505546954948,2013-07-18,0.7147371999401659,5748968.6,2
23,ALPHABETCITY,37RELIGIOUSFACILITIES,4,392,4,M1,149AVENUEB,10009,0.010638297872340425,0.02127659574468085,0.015384615384615385,0.018876241932384623,0.010128179831501041,1900.0,4,M1,0.29898651540798565,2012-12-20,0.8158818805508727,5748968.6,2
24,ALPHABETCITY,37RELIGIOUSFACILITIES,4,392,4,M1,149AVENUEB,10009,0.010638297872340425,0.02127659574468085,0.015384615384615385,0.018876241932384623,0.010128179831501041,1900.0,4,M1,0.20530268566988236,2012-09-27,0.7587311190625371,5748968.6,2
25,CHELSEA,01ONEFAMILYHOMES,1,738,61,A4,338WEST15STREET,10011,0.005319148936170213,0.0,0.005128205128205128,0.011970024075685818,0.0032333483490750428,1900.0,1,A4,0.3474436687207977,2013-07-25,0.8387490927983412,6221567.651162791,3
26,CHELSEA,01ONEFAMILYHOMES,1,743,27,A9,323WEST19THSTREET,10011,0.005319148936170213,0.0,0.005128205128205128,0.0161069729063761,0.004774633572468327,1901.0,1,A9,0.4624486459165383,2013-04-16,0.8823176278345605,6221567.651162791,3
27,CHELSEA,01ONEFAMILYHOMES,1,770,21,A9,233WEST20TH,10011,0.005319148936170213,0.0,0.005128205128205128,0.006725367634592127,0.00048583990737397013,1901.0,1,A9,0.5112288469181024,2013-06-27,0.8976077246161311,6221567.651162791,3
28,CHELSEA,01ONEFAMILYHOMES,1,774,81,A4,280WEST25THSTREET,10001,0.005319148936170213,0.0,0.005128205128205128,0.005289868996620361,0.00429623948742959,1900.0,1,A4,0.2569903158702152,2013-05-30,0.7928554538378346,6221567.651162791,3
29,CHELSEA,01ONEFAMILYHOMES,1,790,64,A0,150WEST15THSTREET,10011,0.005319148936170213,0.0,0.005128205128205128,0.01730510562783285,0.017866250693392205,1920.0,1,A0,1.0,2013-04-26,1.0,6221567.651162791,3
